database_name	LIPIDMAPS
database_version	18Mar14
508.521931	C34H68O2	LMFA01020298
536.553231	C36H72O2	LMFA01020299
550.568881	C37H74O2	LMFA01020300
578.600181	C39H78O2	LMFA01020301
592.615831	C40H80O2	LMFA01020302
620.647131	C42H84O2	LMFA01020303
634.662781	C43H86O2	LMFA01020304
662.694082	C45H90O2	LMFA01020305
676.709732	C46H92O2	LMFA01020306
704.741032	C48H96O2	LMFA01020307
368.365431	C24H48O2	LMFA01020308
382.381081	C25H50O2	LMFA01020309
396.396731	C26H52O2	LMFA01020310
410.412381	C27H54O2	LMFA01020311
424.428031	C28H56O2	LMFA01020312
438.443681	C29H58O2	LMFA01020313
452.459331	C30H60O2	LMFA01020314
466.474981	C31H62O2	LMFA01020315
480.490631	C32H64O2	LMFA01020316
494.506281	C33H66O2	LMFA01020317
508.521931	C34H68O2	LMFA01020318
522.537581	C35H70O2	LMFA01020319
482.469896	C31H62O3	LMFA01020320
510.501196	C33H66O3	LMFA01020321
524.516846	C34H68O3	LMFA01020322
552.548146	C36H72O3	LMFA01020323
566.563796	C37H74O3	LMFA01020324
594.595096	C39H78O3	LMFA01020325
608.610746	C40H80O3	LMFA01020326
636.642046	C42H84O3	LMFA01020327
650.657696	C43H86O3	LMFA01020328
678.688997	C45H90O3	LMFA01020329
692.704647	C46H92O3	LMFA01020330
720.735947	C48H96O3	LMFA01020331
384.360346	C24H48O3	LMFA01020332
412.391646	C26H52O3	LMFA01020333
426.407296	C27H54O3	LMFA01020334
440.422946	C28H56O3	LMFA01020335
380.365431	C25H48O2	LMFA01020336
408.396731	C27H52O2	LMFA01020337
422.412381	C28H54O2	LMFA01020338
436.428031	C29H56O2	LMFA01020339
296.271531	C19H36O2	LMFA01020340
538.474981	C37H62O2	LMFA01020341
312.302831	C20H40O2	LMFA01020342
396.396731	C26H52O2	LMFA01020343
158.13068	C9H18O2	LMFA01020345
186.16198	C11H22O2	LMFA01020346
214.19328	C13H26O2	LMFA01020347
242.224581	C15H30O2	LMFA01020348
382.381081	C25H50O2	LMFA01020349
382.381081	C25H50O2	LMFA01020350
396.396731	C26H52O2	LMFA01020351
396.396731	C26H52O2	LMFA01020352
396.396731	C26H52O2	LMFA01020353
256.240231	C16H32O2	LMFA01020355
326.318481	C21H42O2	LMFA01020356
392.365431	C26H48O2	LMFA01020357
392.365431	C26H48O2	LMFA01020358
406.381081	C27H50O2	LMFA01020359
406.381081	C27H50O2	LMFA01020360
420.396731	C28H52O2	LMFA01020361
420.396731	C28H52O2	LMFA01020362
406.381081	C27H50O2	LMFA01020363
420.396731	C28H52O2	LMFA01020364
434.412381	C29H54O2	LMFA01020365
448.428031	C30H56O2	LMFA01020366
304.240231	C20H32O2	LMFA01020367
262.19328	C17H26O2	LMFA01020368
280.240231	C18H32O2	LMFA01020369
290.224581	C19H30O2	LMFA01020370
286.19328	C19H26O2	LMFA01020371
282.255881	C18H34O2	LMFA01020372
282.255881	C18H34O2	LMFA01020373
282.255881	C18H34O2	LMFA01020374
434.412381	C29H54O2	LMFA01020375
448.428031	C30H56O2	LMFA01020376
280.240231	C18H32O2	LMFA01020377
294.255881	C19H34O2	LMFA01020378
294.255881	C19H34O2	LMFA01020379
304.240231	C20H32O2	LMFA01020381
268.240231	C17H32O2	LMFA01020382
268.240231	C17H32O2	LMFA01020383
268.240231	C17H32O2	LMFA01020384
268.240231	C17H32O2	LMFA01020385
296.271531	C19H36O2	LMFA01020386
296.271531	C19H36O2	LMFA01020387
228.20893	C14H28O2	LMFA01020388
242.224581	C15H30O2	LMFA01020389
270.255881	C17H34O2	LMFA01020390
144.11503	C8H16O2	LMFA01020391
142.09938	C8H14O2	LMFA01020392
304.240231	C20H32O2	LMFA01030001
282.255881	C18H34O2	LMFA01030002
312.28963	C20H24(2)H8O2	LMFA01030003
86.03678	C4H6O2	LMFA01030004
100.05243	C5H8O2	LMFA01030005
100.05243	C5H8O2	LMFA01030006
100.05243	C5H8O2	LMFA01030007
